*  HI bound-bound recombination spectrum.
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
     0.161278  5.85712e-29
     0.161624  5.86626e-29
     0.161971  5.87528e-29
     0.162318  5.88432e-29
     0.162666  5.89332e-29
     0.163016  5.90227e-29
     0.163365  5.91130e-29
     0.163716  5.92034e-29
     0.164067  5.92940e-29
     0.164419  5.93866e-29
     0.164772  5.94796e-29
     0.165125  5.95733e-29
     0.165480  5.96693e-29
     0.165835  5.97669e-29
     0.166191  5.98659e-29
     0.166547  5.99665e-29
     0.166904  6.00690e-29
     0.167263  6.01738e-29
     0.167621  6.02805e-29
     0.167981  6.03887e-29
     0.168342  6.04987e-29
     0.168703  6.06107e-29
     0.169065  6.07243e-29
     0.169427  6.08391e-29
     0.169791  6.09548e-29
     0.170155  6.10715e-29
     0.170520  6.11893e-29
     0.170886  6.13075e-29
     0.171253  6.14251e-29
     0.171620  6.15432e-29
     0.171989  6.16613e-29
     0.172358  6.17784e-29
     0.172727  6.18944e-29
     0.173098  6.20099e-29
     0.173469  6.21245e-29
     0.173842  6.22369e-29
     0.174215  6.23482e-29
     0.174588  6.24584e-29
     0.174963  6.25665e-29
     0.175338  6.26731e-29
     0.175715  6.27780e-29
     0.176092  6.28806e-29
     0.176469  6.29824e-29
     0.176848  6.30827e-29
     0.177228  6.31809e-29
     0.177608  6.32778e-29
     0.177989  6.33739e-29
     0.178371  6.34691e-29
     0.178754  6.35627e-29
     0.179137  6.36561e-29
     0.179521  6.37496e-29
     0.179907  6.38424e-29
     0.180293  6.39353e-29
     0.180679  6.40290e-29
     0.181067  6.41235e-29
     0.181456  6.42184e-29
     0.181845  6.43146e-29
     0.182235  6.44126e-29
     0.182626  6.45114e-29
     0.183018  6.46124e-29
     0.183411  6.47160e-29
     0.183804  6.48207e-29
     0.184199  6.49277e-29
     0.184594  6.50373e-29
     0.184990  6.51488e-29
     0.185387  6.52626e-29
     0.185784  6.53790e-29
     0.186183  6.54976e-29
     0.186583  6.56173e-29
     0.186983  6.57389e-29
     0.187384  6.58630e-29
     0.187786  6.59873e-29
     0.188189  6.61126e-29
     0.188593  6.62395e-29
     0.188998  6.63664e-29
     0.189403  6.64940e-29
     0.189809  6.66219e-29
     0.190217  6.67486e-29
     0.190625  6.68755e-29
     0.191034  6.70020e-29
     0.191444  6.71264e-29
     0.191854  6.72500e-29
     0.192266  6.73726e-29
     0.192679  6.74935e-29
     0.193092  6.76131e-29
     0.193506  6.77307e-29
     0.193922  6.78463e-29
     0.194338  6.79604e-29
     0.194755  6.80728e-29
     0.195172  6.81832e-29
     0.195591  6.82917e-29
     0.196011  6.83988e-29
     0.196431  6.85041e-29
     0.196853  6.86073e-29
     0.197275  6.87101e-29
     0.197699  6.88121e-29
     0.198123  6.89122e-29
     0.198548  6.90116e-29
     0.198974  6.91111e-29
     0.199401  6.92104e-29
     0.199829  6.93090e-29
     0.200257  6.94078e-29
     0.200687  6.95075e-29
     0.201118  6.96076e-29
     0.201549  6.97088e-29
     0.201982  6.98110e-29
     0.202415  6.99140e-29
     0.202849  7.00195e-29
