*  HeI bound-bound recombination spectrum.
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
     0.161278  3.09309e-31
     0.161624  3.10148e-31
     0.161971  3.11104e-31
     0.162318  3.12184e-31
     0.162666  3.13404e-31
     0.163016  3.14773e-31
     0.163365  3.16277e-31
     0.163716  3.17889e-31
     0.164067  3.19622e-31
     0.164419  3.21455e-31
     0.164772  3.23378e-31
     0.165125  3.25336e-31
     0.165480  3.27316e-31
     0.165835  3.29320e-31
     0.166191  3.31312e-31
     0.166547  3.33255e-31
     0.166904  3.35127e-31
     0.167263  3.36925e-31
     0.167621  3.38648e-31
     0.167981  3.40275e-31
     0.168342  3.41790e-31
     0.168703  3.43191e-31
     0.169065  3.44480e-31
     0.169427  3.45653e-31
     0.169791  3.46726e-31
     0.170155  3.47653e-31
     0.170520  3.48474e-31
     0.170886  3.49191e-31
     0.171253  3.49781e-31
     0.171620  3.50265e-31
     0.171989  3.50659e-31
     0.172358  3.50941e-31
     0.172727  3.51134e-31
     0.173098  3.51270e-31
     0.173469  3.51315e-31
     0.173842  3.51287e-31
     0.174215  3.51240e-31
     0.174588  3.51152e-31
     0.174963  3.51030e-31
     0.175338  3.50929e-31
     0.175715  3.50859e-31
     0.176092  3.50816e-31
     0.176469  3.50849e-31
     0.176848  3.51011e-31
     0.177228  3.51283e-31
     0.177608  3.51693e-31
     0.177989  3.52319e-31
     0.178371  3.53161e-31
     0.178754  3.54228e-31
     0.179137  3.55579e-31
     0.179521  3.57208e-31
     0.179907  3.59133e-31
     0.180293  3.61373e-31
     0.180679  3.63920e-31
     0.181067  3.66763e-31
     0.181456  3.69921e-31
     0.181845  3.73348e-31
     0.182235  3.77014e-31
     0.182626  3.80878e-31
     0.183018  3.84912e-31
     0.183411  3.89093e-31
     0.183804  3.93343e-31
     0.184199  3.97608e-31
     0.184594  4.01881e-31
     0.184990  4.06121e-31
     0.185387  4.10263e-31
     0.185784  4.14236e-31
     0.186183  4.18063e-31
     0.186583  4.21744e-31
     0.186983  4.25198e-31
     0.187384  4.28442e-31
     0.187786  4.31440e-31
     0.188189  4.34213e-31
     0.188593  4.36773e-31
     0.188998  4.39099e-31
     0.189403  4.41166e-31
     0.189809  4.42963e-31
     0.190217  4.44558e-31
     0.190625  4.45936e-31
     0.191034  4.47052e-31
     0.191444  4.47895e-31
     0.191854  4.48521e-31
     0.192266  4.48965e-31
     0.192679  4.49152e-31
     0.193092  4.49109e-31
     0.193506  4.48869e-31
     0.193922  4.48433e-31
     0.194338  4.47824e-31
     0.194755  4.47052e-31
     0.195172  4.46123e-31
     0.195591  4.45073e-31
     0.196011  4.43950e-31
     0.196431  4.42763e-31
     0.196853  4.41525e-31
     0.197275  4.40328e-31
     0.197699  4.39227e-31
     0.198123  4.38219e-31
     0.198548  4.37335e-31
     0.198974  4.36682e-31
     0.199401  4.36333e-31
     0.199829  4.36293e-31
     0.200257  4.36568e-31
     0.200687  4.37243e-31
     0.201118  4.38401e-31
     0.201549  4.40033e-31
     0.201982  4.42105e-31
     0.202415  4.44645e-31
     0.202849  4.47695e-31
     0.203285  4.51204e-31
     0.203721  4.55180e-31
     0.204158  4.59506e-31
     0.204596  4.64157e-31
     0.205035  4.69125e-31
     0.205475  4.74357e-31
     0.205916  4.79730e-31
     0.206357  4.85141e-31
     0.206800  4.90644e-31
     0.207244  4.96151e-31
     0.207689  5.01527e-31
     0.208134  5.06791e-31
     0.208581  5.11885e-31
     0.209028  5.16765e-31
     0.209477  5.21394e-31
     0.209926  5.25756e-31
     0.210377  5.29779e-31
     0.210828  5.33496e-31
     0.211280  5.36909e-31
     0.211734  5.39962e-31
     0.212188  5.42656e-31
     0.212643  5.45003e-31
     0.213100  5.46987e-31
     0.213557  5.48598e-31
     0.214015  5.49833e-31
     0.214474  5.50691e-31
     0.214934  5.51194e-31
     0.215396  5.51340e-31
     0.215858  5.51101e-31
     0.216321  5.50516e-31
     0.216785  5.49583e-31
     0.217250  5.48372e-31
     0.217716  5.46816e-31
     0.218183  5.44957e-31
     0.218652  5.42874e-31
     0.219121  5.40584e-31
     0.219591  5.38089e-31
     0.220062  5.35401e-31
     0.220534  5.32609e-31
     0.221007  5.29812e-31
     0.221481  5.27026e-31
     0.221957  5.24256e-31
     0.222433  5.21580e-31
     0.222910  5.19162e-31
     0.223388  5.17009e-31
     0.223868  5.15148e-31
     0.224348  5.13636e-31
     0.224829  5.12589e-31
     0.225312  5.12087e-31
     0.225795  5.12171e-31
     0.226280  5.12790e-31
     0.226765  5.14014e-31
     0.227252  5.15892e-31
     0.227739  5.18452e-31
     0.228228  5.21701e-31
     0.228718  5.25504e-31
     0.229208  5.29852e-31
     0.229700  5.34778e-31
     0.230193  5.40215e-31
     0.230687  5.46099e-31
     0.231182  5.52312e-31
     0.231678  5.58807e-31
     0.232175  5.65549e-31
     0.232673  5.72469e-31
     0.233173  5.79519e-31
     0.233673  5.86586e-31
     0.234174  5.93644e-31
     0.234677  6.00715e-31
     0.235180  6.07698e-31
     0.235685  6.14489e-31
     0.236190  6.21110e-31
     0.236697  6.27551e-31
     0.237205  6.33718e-31
     0.237714  6.39604e-31
     0.238224  6.45185e-31
     0.238735  6.50402e-31
     0.239247  6.55258e-31
     0.239761  6.59690e-31
     0.240275  6.63683e-31
     0.240791  6.67193e-31
