*  HeII bound-bound recombination spectrum.
* 
*   Frequency       Delta I_nu 
*     [GHz]      [J m^-2 s^-1 Hz^-1 sr^-1] 
     0.161278  5.18723e-30
     0.161624  5.19653e-30
     0.161971  5.20578e-30
     0.162318  5.21499e-30
     0.162666  5.22422e-30
     0.163016  5.23342e-30
     0.163365  5.24261e-30
     0.163716  5.25179e-30
     0.164067  5.26093e-30
     0.164419  5.27018e-30
     0.164772  5.27951e-30
     0.165125  5.28876e-30
     0.165480  5.29803e-30
     0.165835  5.30740e-30
     0.166191  5.31689e-30
     0.166547  5.32638e-30
     0.166904  5.33582e-30
     0.167263  5.34536e-30
     0.167621  5.35531e-30
     0.167981  5.36523e-30
     0.168342  5.37494e-30
     0.168703  5.38474e-30
     0.169065  5.39468e-30
     0.169427  5.40470e-30
     0.169791  5.41466e-30
     0.170155  5.42448e-30
     0.170520  5.43440e-30
     0.170886  5.44463e-30
     0.171253  5.45489e-30
     0.171620  5.46510e-30
     0.171989  5.47532e-30
     0.172358  5.48559e-30
     0.172727  5.49582e-30
     0.173098  5.50606e-30
     0.173469  5.51644e-30
     0.173842  5.52672e-30
     0.174215  5.53685e-30
     0.174588  5.54697e-30
     0.174963  5.55701e-30
     0.175338  5.56700e-30
     0.175715  5.57705e-30
     0.176092  5.58703e-30
     0.176469  5.59666e-30
     0.176848  5.60646e-30
     0.177228  5.61757e-30
     0.177608  5.62812e-30
     0.177989  5.63760e-30
     0.178371  5.64732e-30
     0.178754  5.65704e-30
     0.179137  5.66658e-30
     0.179521  5.67609e-30
     0.179907  5.68560e-30
     0.180293  5.69511e-30
     0.180679  5.70463e-30
     0.181067  5.71410e-30
     0.181456  5.72353e-30
     0.181845  5.73300e-30
     0.182235  5.74252e-30
     0.182626  5.75193e-30
     0.183018  5.76149e-30
     0.183411  5.77156e-30
     0.183804  5.78150e-30
     0.184199  5.79126e-30
     0.184594  5.80119e-30
     0.184990  5.81118e-30
     0.185387  5.82125e-30
     0.185784  5.83144e-30
     0.186183  5.84168e-30
     0.186583  5.85206e-30
     0.186983  5.86244e-30
     0.187384  5.87265e-30
     0.187786  5.88331e-30
     0.188189  5.89436e-30
     0.188593  5.90520e-30
     0.188998  5.91605e-30
     0.189403  5.92702e-30
     0.189809  5.93802e-30
     0.190217  5.94904e-30
     0.190625  5.96007e-30
     0.191034  5.97109e-30
     0.191444  5.98208e-30
     0.191854  5.99320e-30
     0.192266  6.00436e-30
     0.192679  6.01529e-30
     0.193092  6.02614e-30
