30 0.1418467
45 0.12492635
60 0.081690987
75 0.030152646
90 -0.017078142
105 -0.052482323
120 -0.072875102
135 -0.078374998
150 -0.071296052
165 -0.055124047
180 -0.033680387
195 -0.010519497
210 0.011441256
225 0.030091168
240 0.04414293
255 0.05304716
270 0.056850275
285 0.056031765
300 0.051346312
315 0.043686318
330 0.033972412
345 0.023073675
360 0.011755531
375 0.00065113517
390 -0.0097487492
405 -0.019092389
420 -0.027154746
435 -0.033819921
450 -0.039061284
465 -0.042921436
480 -0.045493431
495 -0.046904125
510 -0.047300097
525 -0.046836255
540 -0.045667017
555 -0.043939842
570 -0.041790783
585 -0.039341743
600 -0.036699077
615 -0.033953246
630 -0.031179237
645 -0.028437522
660 -0.025775354
675 -0.023228258
690 -0.020821594
705 -0.018572093
720 -0.016489338
735 -0.014577108
750 -0.012834601
765 -0.011257495
780 -0.0098388699
795 -0.0085699796
810 -0.0074408907
825 -0.0064410016
840 -0.0055594536
855 -0.0047854487
870 -0.0041084882
885 -0.0035185436
900 -0.0030061754
915 -0.0025626052
930 -0.0021797543
945 -0.0018502546
960 -0.001567439
975 -0.001325317
990 -0.0011185399

